"calendarSessionExternalId","courseSectionExternalId"
"SP2020","ART 199  PZ-01 SP2020"
"SP2021","ART 199  PZ-01 SP2021"
"SP2020","ART 199  SC-01 SP2020"
"SP2020","ART 199  SC-02 SP2020"
"SP2021","ASAM077B PZ-01 SP2021"
"FA2020","ASAM082  PZ-01 FA2020"
"FA2020","ASAM088  PZ-01 FA2020"
"SP2021","ASAM090  PZ-01 SP2021"
"SP2020","ASAM094  PZ-01 SP2020"
"SP2020","ASAM105  PZ-01 SP2020"
"SP2021","ASAM105B PZ-01 SP2021"
"SP2020","ASAM106  AA-01 SP2020"
"SP2021","ASAM115  PZ-01 SP2021"
"SU2020S2","ASAM125  AA-01 SU2020S2"
"FA2020","ASAM125  AA-01 FA2020"
"SP2021","ASAM125  AA-01 SP2021"
"FA2020","ASAM126  HM-01 FA2020"
"FA2020","ASAM130  PZ-01 FA2020"
"FA2020","ASAM135B PZ-01 FA2020"
"SP2020","ASAM160  AA-01 SP2020"
"SP2021","ASAM160  AA-01 SP2021"
"SP2020","ASAM172  PZ-01 SP2020"
"SP2020","ASAM175  PZ-01 SP2020"
"SP2020","ASAM179B HM-01 SP2020"
"SP2020","ASAM179F AA-01 SP2020"
"SP2021","ASAM179G AA-01 SP2021"
"FA2020","ASAM189B PO-01 FA2020"
"SP2021","ASAM189C PO-01 SP2021"
"FA2020","ASAM190A PO-01 FA2020"
"SP2020","ASAM191  PO-04 SP2020"
"SP2020","ASAM191  PO-08 SP2020"
"SP2020","ASAM191  PO-12 SP2020"
"SP2020","ASAM191  PO-14 SP2020"
"SP2020","ASAM191  PO-16 SP2020"
"SP2020","ASAM191  PO-20 SP2020"
"FA2020","ASAM191  PO-04 FA2020"
"SP2021","ASAM191  PO-04 SP2021"
"SP2020","ASAM191  SC-01 SP2020"
"SP2021","ASAM191  SC-01 SP2021"
"FA2020","ASAM199  SC-01 FA2020"
"FA2020","ASIA190  PO-01 FA2020"
"SP2020","ASIA191  PO-04 SP2020"
"FA2020","ASIA191  PO-04 FA2020"
"SP2021","ASIA191  PO-04 SP2021"
"SP2020","ASIA191  SC-01 SP2020"
"SP2021","ASIA191  SC-01 SP2021"
"SP2020","ASIA192  PO-04 SP2020"
"FA2020","ASIA192  PO-04 FA2020"
"SP2021","ASIA192  PO-04 SP2021"
"SP2021","ASTR001  PO-01 SP2021"
"SP2021","ASTR001 LPO-01 SP2021"
"SP2020","ASTR002  PO-01 SP2020"
"FA2020","ASTR002  PO-01 FA2020"
"SP2020","ASTR051  PO-01 SP2020"
"SP2021","ASTR051  PO-01 SP2021"
"SP2020","ASTR051 LPO-01 SP2020"
"SP2021","ASTR051 LPO-01 SP2021"
"SP2020","ASTR062  HM-01 SP2020"
"SP2021","ASTR062  HM-01 SP2021"
"SP2020","ASTR066L KS-01 SP2020"
"SP2020","ASTR066L KS-02 SP2020"
"SP2020","ASTR066L KS-02 SP2020"
"FA2020","ASTR066L KS-01 FA2020"
"FA2020","ASTR066L KS-02 FA2020"
"FA2020","ASTR101  PO-01 FA2020"
"FA2020","ASTR101 LPO-01 FA2020"
"SP2020","ASTR121  PO-01 SP2020"
"SP2021","ASTR123  PO-01 SP2021"
"SP2021P1","ASTR124  HM-01 SP2021P1"
"SP2020","ASTR125  PO-01 SP2020"
"SP2021","BIOL001A PO-01 SP2021"
"SP2021","BIOL001A PO-01 SP2021"
"SP2021","BIOL001D PO-01 SP2021"
"SP2021","BIOL001D PO-01 SP2021"
"FA2020","BIOL002A PO-01 FA2020"
"FA2020","BIOL002A PO-01 FA2020"
"SP2020","BIOL023  HM-01 SP2020"
"SP2020","BIOL023  HM-02 SP2020"
"SP2020","BIOL023  HM-03 SP2020"
"SP2020","BIOL023  HM-04 SP2020"
"SP2020","BIOL023  HM-04 SP2020"
"SP2020","BIOL023  HM-05 SP2020"
"SP2020","BIOL023  HM-05 SP2020"
"FA2020","BIOL023  HM-01 FA2020"
"FA2020","BIOL023  HM-02 FA2020"
"SP2021","BIOL023  HM-01 SP2021"
"SP2021","BIOL023  HM-02 SP2021"
"SP2021","BIOL023  HM-03 SP2021"
"SP2021","BIOL023  HM-04 SP2021"
"SP2021","BIOL023  HM-05 SP2021"
"SP2021","BIOL023  HM-06 SP2021"
"SP2021","BIOL039L KS-01 SP2021"
"FA2020","BIOL040  PO-01 FA2020"
"FA2020","BIOL040  PO-01 FA2020"
"FA2020","BIOL040  PO-02 FA2020"
"FA2020","BIOL040  PO-02 FA2020"
"FA2020","BIOL040  PO-02 FA2020"
"FA2020","BIOL040  PO-03 FA2020"
"FA2020","BIOL040  PO-03 FA2020"
"FA2020","BIOL040  PO-03 FA2020"
"FA2020","BIOL040  PO-04 FA2020"
"FA2020","BIOL040  PO-04 FA2020"
"FA2020","BIOL040  PO-04 FA2020"
"FA2020","BIOL040  PO-05 FA2020"
"FA2020","BIOL040  PO-05 FA2020"
"FA2020","BIOL040  PO-05 FA2020"
"SP2020","BIOL041C PO-01 SP2020"
"SP2020","BIOL041C PO-01 SP2020"
"SP2020","BIOL041C PO-01 SP2020"
"SP2020","BIOL041C PO-02 SP2020"
"SP2020","BIOL041C PO-02 SP2020"
"SP2020","BIOL041C PO-02 SP2020"
"SP2020","BIOL041C PO-03 SP2020"
"SP2020","BIOL041C PO-03 SP2020"
"SP2020","BIOL041C PO-03 SP2020"
"SP2020","BIOL041C PO-04 SP2020"
"SP2020","BIOL041C PO-04 SP2020"
"SP2020","BIOL041C PO-04 SP2020"
"SP2021","BIOL041C PO-02 SP2021"
"SP2021","BIOL041C PO-02 SP2021"
"SP2021","BIOL041C PO-02 SP2021"
"SP2021","BIOL041C PO-02 SP2021"
"SP2021","BIOL041C PO-02 SP2021"
"SP2021","BIOL041C PO-03 SP2021"
"SP2021","BIOL041C PO-03 SP2021"
"SP2021","BIOL041C PO-03 SP2021"
"SP2021","BIOL041C PO-03 SP2021"
"SP2021","BIOL041C PO-03 SP2021"
"SP2021","BIOL041C PO-04 SP2021"
"SP2021","BIOL041C PO-04 SP2021"
"SP2021","BIOL041C PO-04 SP2021"
"SP2021","BIOL041C PO-04 SP2021"
"SP2021","BIOL041C PO-04 SP2021"
"SP2020","BIOL041E PO-01 SP2020"
"SP2021","BIOL041E PO-01 SP2021"
"SP2021","BIOL041E PO-01 SP2021"
"SP2021","BIOL041E PO-01 SP2021"
"SP2021","BIOL041E PO-01 SP2021"
"SP2021","BIOL041E PO-01 SP2021"
"SP2021","BIOL041E PO-02 SP2021"
"SP2021","BIOL041E PO-02 SP2021"
"SP2021","BIOL041E PO-02 SP2021"
"SP2021","BIOL041E PO-02 SP2021"
"SP2021","BIOL041E PO-02 SP2021"
"SP2020","BIOL041ELPO-01 SP2020"
"SP2020","BIOL041ELPO-02 SP2020"
"SP2020","BIOL042L KS-01 SP2020"
"SP2020","BIOL042L KS-01 SP2020"
"SP2020","BIOL042L KS-01 SP2020"
"SP2020","BIOL042L KS-02 SP2020"
"SP2020","BIOL042L KS-02 SP2020"
"SP2020","BIOL042L KS-02 SP2020"
"SP2021","BIOL042L KS-01 SP2021"
"SP2021","BIOL042L KS-01 SP2021"
"SP2021","BIOL042L KS-01 SP2021"
"SP2021","BIOL042L KS-02 SP2021"
"SP2021","BIOL042L KS-02 SP2021"
"SP2021","BIOL042L KS-02 SP2021"
"FA2020","BIOL043L KS-01 FA2020"
"FA2020","BIOL043L KS-01 FA2020"
"FA2020","BIOL043L KS-02 FA2020"
"FA2020","BIOL043L KS-02 FA2020"
"FA2020","BIOL043L KS-03 FA2020"
"FA2020","BIOL043L KS-03 FA2020"
"FA2020","BIOL043L KS-04 FA2020"
"FA2020","BIOL043L KS-04 FA2020"
"FA2020","BIOL043L KS-05 FA2020"
"FA2020","BIOL043L KS-05 FA2020"
"FA2020","BIOL043LXKS-01 FA2020"
"FA2020","BIOL043LXKS-01 FA2020"
"FA2020","BIOL043LXKS-02 FA2020"
"FA2020","BIOL043LXKS-02 FA2020"
"FA2020","BIOL043LXKS-03 FA2020"
"FA2020","BIOL043LXKS-03 FA2020"
"FA2020","BIOL043LXKS-04 FA2020"
"FA2020","BIOL043LXKS-04 FA2020"
"FA2020","BIOL043LXKS-05 FA2020"
"FA2020","BIOL043LXKS-05 FA2020"
"FA2020","BIOL043LXKS-06 FA2020"
